,name_res,img_link,food_link,favorite_tag,is_quality_mer,address,promotion
0,TocoToco Bubble Tea - Lê Văn Việt,https://images.foody.vn/res/g81/801344/prof/s280x175/image-9c40a4fe-210113164540.jpeg,https://shopeefood.vn/ho-chi-minh/tocotoco-bubble-tea-le-van-viet,Yêu thích,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"84 Lê Văn Việt, P. Hiệp Phú, Thành Phố Thủ Đức, TP. HCM",Giảm hết 40%
1,"Cơm Gà, Cháo & Gỏi Gà Ta Tường Vy - Nguyễn Văn Quá",https://images.foody.vn/res/g112/1116116/prof/s280x175/foody-upload-api-foody-mobile-an-025f67f7-211112160025.jpg,https://shopeefood.vn/ho-chi-minh/com-ga-chao-goi-ga-ta-tuong-vy-nguyen-van-qua,Yêu thích,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"661 Nguyễn Văn Quá, P. Đông Hưng Thuận, Quận 12, TP. HCM",Giảm món
2,Bánh Tráng Út Hạnh,https://images.foody.vn/res/g91/908519/prof/s280x175/foody-upload-api-foody-mobile-20-190625093328.jpg,https://shopeefood.vn/ho-chi-minh/banh-trang-ut-hanh,Yêu thích,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"Kios 12 Đường Số 32, P. 10, Quận 6, TP. HCM",Giảm hết 8%
3,Yến Lan - Bún Thịt Nướng & Bánh Hỏi,https://images.foody.vn/res/g11/101362/prof/s280x175/foody-upload-api-foody-mobile-2-jpg-181109092515.jpg,https://shopeefood.vn/ho-chi-minh/yen-lan-bun-thit-nuong-banh-hoi,Yêu thích,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"Đối Diện 111 Nguyễn Hữu Cầu, P. Tân Định, Quận 1, TP. HCM",Giảm món
4,Tiên Tiên - Bún Thái Cay - Phan Văn Trị,https://images.foody.vn/res/g97/963183/prof/s280x175/image-f472b1f5-200910114135.jpeg,https://shopeefood.vn/ho-chi-minh/tien-tien-bun-thai-cay-phan-van-tri,Yêu thích,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"317B Phan Văn Trị, P. 2, Quận 5, TP. HCM",Giảm hết 10%
5,Tâm Ký II - Cơm Chiên & Nui Xào - Đường 50,https://images.foody.vn/res/g117/1163333/prof/s280x175/foody-upload-api-foody-mobile-ta-f8e92a47-230304194500.jpeg,https://shopeefood.vn/ho-chi-minh/tam-ky-ii-com-chien-nui-xao-duong-50,,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"10 Đường số 50, P. 5, Quận 4, Quận 4, TP. HCM",Giảm hết 20%
6,"Bún Thịt Nướng Dì 7 & Cơm Tấm, Lẩu - Khu Phố 2A",https://images.foody.vn/res/g97/961580/prof/s280x175/foody-upload-api-foody-mobile-1111-190926110458.jpg,https://shopeefood.vn/ho-chi-minh/bun-thit-nuong-di-7-com-tam-lau-khu-pho-2a,,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"1779/21/6 Khu Phố 2A, Quốc Lộ 1A, P. Tân Thới Hiệp, Quận 12, TP. HCM",Giảm hết 10%
7,Cơm Tấm Cô Tư - Vĩnh Hội,https://images.foody.vn/res/g105/1045859/prof/s280x175/file_restaurant_photo_wrdr_16823-ed0f7ce2-230424102546.jpg,https://shopeefood.vn/ho-chi-minh/com-tam-co-tu-vinh-hoi,Yêu thích,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"27B Vĩnh Hội, P. 4, Quận 4, TP. HCM",Giảm món
8,Cơm Tấm Ba Ghiền Không Chi Nhánh - 84 Đặng Văn Ngữ,https://images.foody.vn/res/g1/1630/prof/s280x175/foody-upload-api-foody-mobile-com-tam-210318174746.jpg,https://shopeefood.vn/ho-chi-minh/com-tam-ba-ghien-khong-chi-nhanh-84-dang-van-ngu,Yêu thích,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"84 Đặng Văn Ngữ, P. 10, Phú Nhuận, TP. HCM",Giảm món
9,Bích Phong - Ăn Vặt & Gỏi Cuốn,https://images.foody.vn/res/g101/1001217/prof/s280x175/foody-upload-api-foody-mobile-co-772aaadd-211230181601.jpeg,https://shopeefood.vn/ho-chi-minh/bich-phong-an-vat-goi-cuon,Yêu thích,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"29/35/16 Hoàng Hoa Thám, P. 6, Bình Thạnh, TP. HCM",Giảm món
